,data.horse.bloodline,data.horse.breed_type,data.horse.color,data.horse.gen,data.horse.horse_type,data.horse.img_url,data.horse.inserted_at,data.horse.name,data.horse.nft_id,data.horse.parents,data.horse.race_statistic.first_place_finishes,data.horse.race_statistic.free_win_rate,data.horse.race_statistic.number_of_free_races,data.horse.race_statistic.number_of_paid_races,data.horse.race_statistic.number_of_races,data.horse.race_statistic.paid_win_rate,data.horse.race_statistic.second_place_finishes,data.horse.race_statistic.third_place_finishes,data.horse.race_statistic.win_rate,data.horse.super_coat
0,Buterin,legendary,Misty Rose,Z18,Mare,https://img.zed.run/horses/FFE4E1.png,2021-12-24T14:08:42,Edvig the boar,173245,"[{'name': 'Saint Blackwires', 'nft_id': 29962}, {'name': 'Macquidez', 'nft_id': 28762}]",19,6.62,287,14,301,0.0,25,22,6.31,False
0,Buterin,cross,AO,Z56,Mare,https://img.zed.run/horses/008000.png,2022-06-29T14:27:04,Is That A Cross,435390,"[{'name': 'Wild Leaves', 'nft_id': 417521}, {'name': 'Mean Green Z13', 'nft_id': 367954}]",6,5.13,117,2,119,0.0,9,12,5.04,False
0,Buterin,elite,Destiny,Z19,Colt,https://img.zed.run/horses/872657.png,2022-06-29T14:32:21,2Pac's Changes,435391,"[{'name': 'Raul Ibanez', 'nft_id': 383815}, {'name': 'Tin Hat Theorist', 'nft_id': 314980}]",13,6.57,198,7,205,0.0,20,22,6.34,False
0,Buterin,genesis,Suave Mauve,Z9,Mare,https://img.zed.run/horses/D473D4.png,2021-07-09T15:51:57,Piano Wire,42178,[],10,7.25,138,16,154,0.0,15,11,6.49,False
0,Szabo,exclusive,Taupe,Z9,Colt,https://img.zed.run/horses/715C56.png,2022-06-29T14:57:10,I Taupe I Saw a Putty Cat,435396,"[{'name': 'Megaladon', 'nft_id': 147844}, {'name': 'WiIe E Coyote', 'nft_id': 135877}]",13,13.4,97,2,99,0.0,13,12,13.13,False
0,Finney,legendary,Atomic Tangerine,Z11,Mare,https://img.zed.run/horses/FF9966.png,2021-12-24T14:34:11,Spark Today,173256,"[{'name': 'Spark Powerful', 'nft_id': 12620}, {'name': 'Live For Today', 'nft_id': 2727}]",48,11.98,384,32,416,6.25,33,31,11.54,False
0,Szabo,elite,Black Chocolate,Z14,Colt,https://img.zed.run/horses/1B1811.png,2022-06-29T15:33:33,Why Is I Black,435408,"[{'name': 'Chrome Slipper', 'nft_id': 396708}, {'name': 'Juniper Jelly', 'nft_id': 379765}]",7,5.56,108,16,124,6.25,9,13,5.65,False
0,Buterin,legendary,Cotton Candy,Z19,Mare,https://img.zed.run/horses/FFBCD9.png,2021-12-24T14:53:54,Candy Crushing,173265,"[{'name': 'Not A Walkover', 'nft_id': 9470}, {'name': 'Alonzah', 'nft_id': 4668}]",6,6.19,97,1,98,0.0,10,10,6.12,False
0,Finney,exclusive,Electric Violet,Z13,Colt,https://img.zed.run/horses/8F00FF.png,2022-02-24T19:26:52,Andre Miller,304337,"[{'name': 'Sound the Cyron', 'nft_id': 198092}, {'name': 'Runnin Ute', 'nft_id': 173857}]",1,3.7,27,0,27,0.0,3,3,3.7,False
0,Buterin,genesis,Fandango,Z9,Stallion,https://img.zed.run/horses/B53389.png,2021-07-09T15:55:16,Tryptic Paintings,42199,[],4,3.03,99,8,107,12.5,12,10,3.74,False
0,Buterin,exclusive,English Vermillion,Z18,Colt,https://img.zed.run/horses/CC474B.png,2022-06-29T16:15:19,Cornflake Storm,435417,"[{'name': 'Cornflake Girl', 'nft_id': 99707}, {'name': 'Storm Girl', 'nft_id': 28876}]",0,0.0,28,0,28,0.0,2,1,0.0,False
