,free_win_rate,paid_win_rate,place,total_paid,win_rate,overall.first,overall.races,overall.second,overall.third,horse_id
0,25.0,0.0,37.25,0.05235,11.76,6,51,6,7,457383
0,4.7,3.92,23.04,0.029905,4.61,20,434,32,48,195237
0,11.11,0.0,13.79,0.02581,10.34,3,29,1,0,457385
0,9.01,0.0,22.48,0.0,8.93,31,347,24,23,457386
0,10.21,14.04,24.66,0.151057,10.96,32,292,26,14,457390
0,7.45,6.98,34.31,0.102855,7.35,15,204,27,28,457391
0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,195247
0,10.0,0.0,35.71,0.019085,9.29,13,140,20,17,457393
0,18.92,0.0,50.0,0.007565,15.91,7,44,7,8,195250
0,2.44,0.0,25.0,0.0149688,2.08,1,48,6,5,457394
0,14.63,0.0,22.68,0.00996,12.37,12,97,5,5,195252
0,2.38,0.0,14.29,0.0,2.38,1,42,1,4,195249
0,10.0,0.0,22.64,0.0,9.43,5,53,3,4,457398
0,13.27,0.0,26.96,0.02932335,11.3,13,115,5,13,457399
0,8.72,0.0,26.6,0.032166,7.98,15,188,20,15,457400
0,18.52,0.0,37.39,0.025488,13.04,15,115,14,14,457402
0,8.06,0.0,27.27,0.0,7.58,5,66,8,5,457403
0,10.99,0.0,32.65,0.011134,10.2,10,98,12,10,457405
0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,457406
0,2.53,0.0,13.29,0.001782,2.31,4,173,12,7,64195
0,10.93,11.95,28.43,0.822058,11.39,113,992,99,70,64198
0,9.4,0.0,26.69,0.008305,9.32,66,708,77,46,195277
0,1.82,0.0,16.95,0.00187,1.69,1,59,5,4,457423
0,8.97,9.09,27.0,0.0217752,9.0,9,100,12,6,457424
0,11.24,11.69,28.68,3.0053422,11.47,319,2782,260,219,64211
0,3.66,0.0,15.31,0.020675,3.57,7,196,11,12,64212
0,0.0,0.0,8.82,0.0,0.0,0,34,1,2,457428
0,12.17,6.67,33.85,0.120275,11.54,15,130,17,12,195284
0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,457431
0,2.7,0.0,24.32,0.0,2.7,2,74,6,10,64218
0,3.64,0.0,5.45,0.02605,3.64,4,110,2,0,457435
0,3.09,0.0,17.53,0.0,3.09,3,97,7,7,195292
0,9.84,0.0,27.46,0.0,9.84,24,244,20,23,195293
0,8.0,0.0,29.33,0.005775,8.0,12,150,16,16,457437
0,2.7,0.0,22.08,0.005925,2.6,2,77,10,5,457439
0,0.0,0.0,4.76,0.0,0.0,0,21,0,1,64225
0,14.71,0.0,24.64,0.0042,14.49,10,69,5,2,195297
0,8.97,0.0,22.35,0.0207621,8.24,7,85,5,7,457443
0,12.82,5.77,28.4,0.085734,10.65,18,169,13,17,457444
0,0.0,0.0,5.56,0.0,0.0,0,18,0,1,195303
0,5.26,0.0,26.32,0.00978,5.26,1,19,2,2,195319
0,6.25,0.0,16.81,0.00095,6.19,7,113,8,4,195320
0,0.0,0.0,16.0,0.0090605,0.0,0,25,3,1,457464
0,7.32,0.0,22.14,0.00152,6.87,9,131,9,11,195321
0,5.08,0.0,25.19,0.03903,4.44,6,135,14,14,457471
0,13.04,12.15,33.17,0.1110126,12.56,25,199,24,17,195329
0,6.92,8.7,25.11,0.0626811,7.01,31,442,38,42,457479
0,7.38,2.04,21.72,0.13379789,6.06,12,198,11,20,457484
0,9.56,11.11,22.73,0.042925,9.74,15,154,7,13,457485
0,8.61,7.32,30.73,0.12214299999999999,8.33,16,192,20,23,64269
0,6.15,0.0,32.43,0.01227,5.41,4,74,13,7,457490
0,14.59,5.48,28.76,0.0633,12.42,38,306,24,26,195348
0,7.0,1.87,24.57,0.26537727,5.43,19,350,23,44,457494
0,0.0,0.0,0.0,0.0,0.0,0,19,0,0,457497
0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,457503
0,7.85,2.44,25.33,0.040497,6.67,25,375,28,42,64289
0,12.35,0.0,35.37,0.0084,12.2,10,82,8,11,195363
0,5.26,0.0,5.26,0.0,5.26,1,19,0,0,326439
0,10.05,0.0,24.76,0.001425,9.91,42,424,32,31,326441
0,6.06,0.0,13.64,0.0,6.06,4,66,1,4,326442
0,3.86,6.25,22.87,0.064081,3.9,37,949,86,94,64299
0,8.89,0.0,19.15,0.0,8.51,4,47,5,0,457515
0,12.9,2.94,27.33,0.102142,8.7,14,161,16,14,457517
0,4.4,0.0,23.08,0.00144,4.4,4,91,7,10,195374
0,18.18,0.0,33.33,0.0,16.67,2,12,1,1,457519
0,0.0,0.0,37.5,0.0,0.0,0,24,3,6,457520
0,0.0,0.0,0.0,0.0,0.0,0,39,0,0,457521
0,7.81,2.17,23.84,0.031791,6.95,21,302,28,23,64309
0,1.24,0.0,2.48,0.0,1.24,2,161,0,2,457526
0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,457536
0,9.91,2.86,23.89,0.011997,8.91,22,247,22,15,64323
0,0.0,0.0,2.5,0.00369,0.0,0,40,0,1,457540
0,0.0,0.0,16.67,0.0021,0.0,0,30,2,3,195397
0,0.0,0.0,50.0,0.006175,0.0,0,2,1,0,457545
0,5.0,0.0,8.57,0.002571,2.86,1,35,1,1,64342
0,6.35,0.0,25.4,0.0,6.35,4,63,8,4,457566
0,9.09,0.0,27.91,0.004944,6.98,3,43,5,4,195431
0,14.29,0.0,22.22,0.01032,14.29,9,63,2,3,195434
0,1.72,0.0,4.76,0.00187,1.59,1,63,0,2,457579
0,12.2,0.0,36.14,0.03334,12.05,10,83,10,10,457582
0,0.0,0.0,0.0,0.0,0.0,0,11,0,0,457583
0,2.53,0.0,17.13,0.0,2.49,8,321,12,35,457590
0,15.61,11.76,27.75,0.6032324,13.79,79,573,43,37,195448
0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,457595
0,0.0,0.0,14.29,0.00369,0.0,0,7,0,1,457597
0,0.0,0.0,0.0,0.0,0.0,0,6,0,0,457600
0,12.43,10.0,26.12,0.038076,12.19,49,402,38,18,195457
0,0.0,0.0,0.0,0.0,0.0,0,14,0,0,457603
0,0.0,0.0,0.0,0.0,0.0,0,7,0,0,457605
0,0.0,0.0,11.11,0.00057,0.0,0,9,0,1,195467
0,0.0,0.0,13.33,0.0,0.0,0,45,2,4,195468
0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,457613
0,0.0,0.0,5.26,0.0,0.0,0,19,0,1,457614
0,0.0,0.0,0.0,0.0,0.0,0,7,0,0,457612
0,2.63,0.0,7.89,0.0,2.63,1,38,2,0,195469
0,10.0,0.0,26.86,0.15035275,9.58,112,1169,109,93,195487
0,6.67,0.0,15.56,0.00543,6.67,3,45,3,1,195492
0,0.0,0.0,8.11,0.0,0.0,0,37,2,1,64426
0,0.0,0.0,4.0,0.00615,0.0,0,50,1,1,457646
0,20.07,9.71,30.92,1.36424883,14.0,91,650,65,45,457650
0,0.0,0.0,5.88,0.00369,0.0,0,17,0,1,457651
0,9.92,7.81,24.73,0.137706,9.63,44,457,34,35,457652
0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,457653
0,0.0,0.0,5.0,0.00369,0.0,0,20,0,1,457654
0,0.0,0.0,25.0,0.00615,0.0,0,4,1,0,457660
0,20.69,4.44,27.68,0.21530365,12.43,22,177,12,15,457661
0,0.0,0.0,0.0,0.0,0.0,0,25,0,0,457662
0,10.77,0.0,25.76,0.0012,10.61,7,66,4,6,195519
0,14.94,9.52,25.91,0.346625,12.78,74,579,41,35,195516
0,0.0,0.0,20.0,0.0,0.0,0,5,1,0,457668
0,4.0,0.0,22.94,0.0285325,3.67,4,109,7,14,457672
0,9.74,14.29,28.57,0.04477006,9.94,16,161,7,23,457674
0,9.09,7.23,35.67,0.23695,8.19,14,171,24,23,457678
0,15.79,0.0,31.58,0.0,15.79,3,19,2,1,457679
0,9.22,0.0,25.05,0.027755,9.22,46,499,43,36,195537
0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,457683
0,4.17,2.94,23.17,0.0178837,3.66,3,82,5,11,457685
0,21.43,0.0,23.68,0.0147,15.79,6,38,3,0,457686
0,3.81,3.57,21.59,0.06974549,3.79,10,264,23,24,457687
0,6.38,0.0,19.15,0.003735,6.38,3,47,4,2,457688
0,8.33,0.0,28.95,0.00342,5.26,2,38,2,7,326619
0,0.0,0.0,11.11,0.0,0.0,0,9,0,1,457695
0,16.77,10.09,30.56,0.5751432,12.87,48,373,39,27,457698
0,8.07,8.02,25.96,0.5411569,8.06,90,1117,103,97,457700
0,10.59,9.35,36.16,0.501816,9.82,22,224,24,35,457701
0,8.85,7.14,22.92,0.016116,8.75,21,240,24,10,457707
0,14.44,5.0,30.91,0.0628704,12.73,14,110,7,13,457709
0,0.0,0.0,0.0,0.0,0.0,0,43,0,0,326638
0,10.65,5.77,25.21,0.1275314,10.11,95,940,79,63,195567
0,10.0,0.0,26.42,0.0,9.43,5,53,7,2,457712
0,1.52,0.0,13.43,0.0,1.49,1,67,4,4,195570
0,18.61,14.42,36.59,1.1468604,16.36,97,593,62,58,457715
0,9.09,0.0,18.18,0.0,9.09,2,22,2,0,195573
0,3.45,0.0,6.9,0.0,3.45,1,29,0,1,326650
0,15.38,0.0,42.86,0.00378,14.29,4,28,3,5,457724
0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,457725
0,4.3,5.26,23.41,0.03561945,4.39,9,205,27,12,457726
0,0.0,10.0,31.58,0.048715999999999995,5.26,3,57,6,9,64509
0,10.78,9.76,26.65,0.064777,10.73,91,848,67,68,195584
0,11.76,0.0,23.53,0.0,11.76,4,34,2,2,457729
0,7.69,0.0,23.08,0.0,7.69,2,26,0,4,457730
0,0.0,0.0,0.0,0.0,0.0,0,19,0,0,457731
0,8.47,5.26,18.25,0.03006,8.03,11,137,5,9,195588
0,4.55,0.0,17.98,0.0,4.49,4,89,7,5,457732
0,8.33,11.11,21.21,0.013704,9.09,3,33,4,0,457734
0,9.66,14.29,37.16,0.00753,9.84,18,183,31,19,195586
0,5.26,3.33,22.06,0.04536,4.41,3,68,6,6,457737
0,0.93,0.0,18.79,0.006859,0.67,1,149,13,14,64522
0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,457739
0,23.08,16.67,37.5,0.018804,21.88,7,32,3,2,457740
0,0.0,0.0,14.29,0.0,0.0,0,14,0,2,457742
0,0.0,0.0,7.69,0.0013824,0.0,0,104,0,8,457743
0,0.0,0.0,0.0,0.0,0.0,0,15,0,0,457744
0,0.0,0.0,25.71,0.003745,0.0,0,35,6,3,457746
0,1.49,0.0,13.04,0.00187,1.45,1,69,3,5,457747
0,0.0,0.0,33.33,0.006175,0.0,0,6,1,1,457748
0,6.94,0.0,25.0,0.00181,6.82,12,176,15,17,195602
0,12.5,12.5,34.38,0.02928,12.5,8,64,5,9,457750
0,13.93,11.42,31.32,0.42797145,12.74,59,463,38,48,457751
0,13.06,8.3,26.26,0.464403,11.28,76,674,48,53,457752
0,0.0,0.0,5.56,0.00187,0.0,0,36,2,0,457753
0,0.0,0.0,0.0,0.0,0.0,0,15,0,0,195607
0,0.82,0.0,23.77,0.00068,0.82,1,122,13,15,326684
0,7.09,0.0,28.24,0.24623,6.64,20,301,37,28,195612
0,0.0,0.0,9.72,0.00187,0.0,0,72,4,3,457760
0,2.86,0.0,7.5,0.0,2.5,1,40,1,1,457761
0,11.11,0.0,27.27,0.0036,9.09,2,22,2,2,457762
0,0.0,0.0,0.0,0.0,0.0,0,32,0,0,457763
0,5.0,0.0,26.09,0.01632,4.35,1,23,3,2,457764
0,20.0,0.0,20.0,0.0,20.0,1,5,0,0,195616
0,3.85,11.11,34.29,0.012805,5.71,2,35,5,5,195622
0,8.57,0.0,24.29,0.0,8.57,6,70,4,7,457767
0,0.0,0.0,34.78,0.00192,0.0,0,23,2,6,457771
0,7.96,0.0,25.22,0.000555,7.83,9,115,8,12,195630
0,6.19,8.13,30.45,0.25586815,7.27,16,220,27,24,457775
0,5.26,6.67,32.35,0.032016,5.88,2,34,5,4,457774
0,20.13,14.29,31.64,0.09707961,19.21,68,354,27,17,457777
0,7.5,0.0,15.09,0.02202,5.66,3,53,4,1,457778
0,4.35,0.0,23.91,0.00204,4.35,2,46,3,6,195633
0,7.95,21.57,25.9,0.0406728,12.95,18,139,10,8,195636
0,4.08,20.0,13.59,0.01734,4.85,5,103,5,4,195635
0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,195631
0,16.36,4.88,26.04,0.036816,11.46,11,96,6,8,457783
0,7.5,0.0,23.82,0.026067,7.06,24,340,31,26,457786
0,5.56,0.0,28.0,0.00348,5.0,5,100,10,13,457789
0,2.68,0.0,20.69,0.000825,2.59,3,116,13,8,195649
0,3.63,8.89,23.23,0.128188,4.24,33,779,65,83,457794
0,5.81,2.44,27.56,0.066336,4.72,6,127,15,14,457797
0,4.72,0.0,20.34,0.007367,4.24,5,118,13,6,195654
0,5.45,0.0,12.73,0.00283,5.45,3,55,4,0,195659
0,14.29,0.0,29.0,0.00894,13.0,13,100,11,5,457805
0,6.53,9.44,29.21,0.69404253,7.54,39,517,67,45,457811
0,4.92,0.0,21.99,0.008403999999999998,4.71,9,191,16,17,64596
0,4.76,0.0,14.29,0.0,4.76,2,42,1,3,326741
0,3.66,0.0,20.48,0.0,3.61,3,83,11,3,195672
0,0.0,5.0,5.17,0.005184,1.72,1,58,2,0,64605
0,0.0,0.0,0.0,0.0,0.0,0,8,0,0,457830
0,0.0,0.0,0.0,0.0,0.0,0,20,0,0,457833
0,11.46,7.02,24.35,0.058246,11.1,77,694,48,44,195690
0,9.43,0.0,24.86,0.00697,9.12,33,362,31,26,326761
0,9.95,13.4,25.3,0.461449,10.31,95,921,67,71,195692
0,9.84,0.0,24.67,0.00144,9.56,50,523,48,31,195712
0,0.0,0.0,16.67,0.0,0.0,0,12,1,1,457857
0,6.15,3.13,22.56,0.021523,5.9,23,390,33,32,64647
0,12.07,10.88,26.95,0.9417824,11.76,110,935,82,60,326802
0,8.7,0.0,29.79,0.006325,8.51,4,47,4,6,457877
0,4.39,0.0,17.05,0.005076,3.88,5,129,10,7,195733
0,0.0,0.0,3.7,0.0,0.0,0,27,0,1,457878
0,2.29,0.0,12.45,0.014955,2.26,6,265,14,13,64663
0,0.0,0.0,21.43,0.003145,0.0,0,14,1,2,64664
0,5.36,0.0,24.56,0.00261,5.26,3,57,5,6,64665
0,7.29,0.0,31.96,0.0,7.22,7,97,15,9,457883
0,8.0,7.14,23.66,0.073092,7.89,25,317,23,27,457884
0,5.33,0.0,22.09,0.00732,4.65,8,172,12,18,457887
0,0.0,0.0,0.0,0.0,0.0,0,17,0,0,457888
0,2.7,0.0,20.27,0.0,2.7,2,74,6,7,195745
0,11.22,12.5,26.56,0.01725,11.24,47,418,38,26,195746
0,3.7,0.0,19.29,0.00374,3.57,5,140,13,9,457891
0,0.0,0.0,0.0,0.0,0.0,0,14,0,0,457890
0,9.11,4.2,23.99,0.25914,8.09,56,692,65,45,64679
0,6.31,50.0,21.24,0.00576,7.08,8,113,4,12,457897
0,9.48,6.98,40.16,0.061041,9.06,23,254,37,42,64681
0,8.33,7.04,25.67,0.071195,8.19,52,635,43,68,195758
0,11.11,13.79,35.98,0.0343692,11.59,19,164,21,19,195760
