,data.horse.bloodline,data.horse.breed_type,data.horse.color,data.horse.gen,data.horse.horse_type,data.horse.img_url,data.horse.inserted_at,data.horse.name,data.horse.nft_id,data.horse.parents,data.horse.race_statistic.first_place_finishes,data.horse.race_statistic.free_win_rate,data.horse.race_statistic.number_of_free_races,data.horse.race_statistic.number_of_paid_races,data.horse.race_statistic.number_of_races,data.horse.race_statistic.paid_win_rate,data.horse.race_statistic.second_place_finishes,data.horse.race_statistic.third_place_finishes,data.horse.race_statistic.win_rate,data.horse.super_coat
0,Szabo,elite,Thistle,Z10,Filly,https://img.zed.run/horses/D8BFD8.png,2022-07-01T20:08:21,Scared Ducky,436509,"[{'name': 'Devotion To Ducky', 'nft_id': 150129}, {'name': 'Purple Patch', 'nft_id': 58352}]",10,25.64,39,2,41,0.0,3,7,24.39,False
0,Finney,legendary,Chrome Yellow,Z13,Colt,https://img.zed.run/horses/FFA700.png,2021-12-25T20:20:01,QuantumPhysics,174367,"[{'name': 'Entangled', 'nft_id': 13810}, {'name': 'Bulletproof Monk', 'nft_id': 2819}]",4,10.0,40,11,51,0.0,4,3,7.84,False
0,Nakamoto,exclusive,Taupe,Z5,Mare,https://img.zed.run/horses/715C56.png,2022-07-01T20:33:59,Chocolate Swirl,436514,"[{'name': 'White Chocolate Latte', 'nft_id': 146198}, {'name': 'Wisperwind', 'nft_id': 623}]",9,7.09,127,5,132,0.0,14,19,6.82,False
0,Szabo,exclusive,Cinnabar,Z9,Colt,https://img.zed.run/horses/E34234.png,2022-07-01T20:58:03,Burning Bills,436518,"[{'name': 'Dollar Domination', 'nft_id': 107565}, {'name': 'Incinerate', 'nft_id': 76544}]",4,7.69,39,10,49,10.0,4,7,8.16,False
0,Finney,legendary,Amethyst,Z14,Colt,https://img.zed.run/horses/9966CC.png,2021-12-25T20:44:50,That Purple Stuff,174377,"[{'name': 'Bare Foot Babe', 'nft_id': 29169}, {'name': 'Saved By The Bell', 'nft_id': 28168}]",4,2.29,175,7,182,0.0,27,15,2.2,False
0,Buterin,legendary,Fuzzy Wuzzy,Z18,Filly,https://img.zed.run/horses/CC6666.png,2021-12-25T21:11:50,Stuck In The Chimney,174382,"[{'name': 'New Coupe', 'nft_id': 29705}, {'name': 'Hot Honey', 'nft_id': 24286}]",44,12.2,328,77,405,5.19,41,13,10.86,False
0,Finney,elite,Bleu De France,Z23,Colt,https://img.zed.run/horses/318CE7.png,2022-07-01T21:11:28,Matt Ryan,436528,"[{'name': 'Gravity Does Not Exist', 'nft_id': 193140}, {'name': 'Championapolis', 'nft_id': 113333}]",0,0.0,12,0,12,0.0,1,0,0.0,False
0,Buterin,exclusive,Suave Mauve,Z18,Colt,https://img.zed.run/horses/D473D4.png,2021-12-25T21:17:42,Myrrh,174386,"[{'name': 'Catalina Breeze', 'nft_id': 42545}, {'name': 'Fingers Crossed', 'nft_id': 27393}]",0,0.0,26,11,37,0.0,6,2,0.0,False
0,Buterin,genesis,China Rose,Z9,Stallion,https://img.zed.run/horses/A8516E.png,2021-07-09T20:40:20,Rosehill Artist,43318,[],3,4.11,73,1,74,0.0,2,2,4.05,False
0,Finney,cross,Cinereous,Z32,Stallion,https://img.zed.run/horses/98817B.png,2022-07-01T21:20:59,Deer Porridge,436535,"[{'name': 'The Queen of Mossy Bottom', 'nft_id': 386348}, {'name': 'Prove Them Wrong', 'nft_id': 57108}]",7,6.48,108,4,112,0.0,9,13,6.25,False
