,free_win_rate,paid_win_rate,place,total_paid,win_rate,overall.first,overall.races,overall.second,overall.third,horse_id
0,0.0,0.0,10.0,0.00815,0.0,0,10,1,0,426789
0,0.0,0.0,20.0,0.0088,0.0,0,10,2,0,426790
0,0.0,0.0,22.22,0.0,0.0,0,9,0,2,426791
0,0.0,0.0,15.15,0.0,0.0,0,33,2,3,426792
0,10.11,0.0,24.15,0.016225,9.48,53,559,41,41,295722
0,11.64,8.12,30.24,0.59160725,10.55,67,635,61,64,426795
0,10.92,8.93,28.77,0.093948,10.53,30,285,27,25,426798
0,2.8,3.7,18.24,0.033055,2.94,5,170,12,14,33583
0,16.81,0.0,37.39,0.03847041,16.52,19,115,16,8,426811
0,2.5,0.0,20.0,0.004845000000000001,2.5,1,40,4,3,426818
0,9.09,0.0,18.18,0.0,9.09,1,11,0,1,426822
0,3.57,0.0,21.43,0.006075,3.57,1,28,3,2,426824
0,0.0,0.0,4.17,0.0,0.0,0,48,2,0,426825
0,0.0,0.0,0.0,0.0,0.0,0,16,0,0,426827
0,3.45,0.0,13.56,0.0,3.39,2,59,4,2,426829
0,0.0,0.0,9.09,0.0,0.0,0,33,2,1,426830
0,0.0,0.0,0.0,0.0,0.0,0,12,0,0,426833
0,10.91,8.51,24.27,0.175582,10.6,76,717,54,44,33617
0,0.0,0.0,5.1,0.0028512,0.0,0,98,3,2,426838
0,10.29,5.88,29.41,0.067884,8.82,9,102,12,9,426842
0,0.0,0.0,10.0,0.0,0.0,0,20,1,1,426845
0,0.0,0.0,15.38,0.0,0.0,0,13,1,1,426850
0,2.86,0.0,17.14,0.0,2.86,1,35,4,1,426852
0,9.03,0.0,29.25,0.07164,8.84,13,147,12,18,426853
0,7.64,4.71,26.26,0.28480025,7.19,40,556,52,54,33638
0,12.65,8.66,26.79,0.567375,9.95,78,784,68,64,164711
0,10.24,0.0,27.43,0.03805905,9.71,17,175,15,16,426855
0,6.0,0.0,6.0,0.0,6.0,3,50,0,0,426863
0,0.0,0.0,0.0,0.0,0.0,0,13,0,0,426864
0,0.0,0.0,0.0,0.0,0.0,0,29,0,0,426868
0,4.44,0.0,14.81,0.02379,3.7,2,54,2,4,33652
0,8.04,13.21,27.8,0.1567814,9.03,25,277,26,26,33654
0,2.56,0.0,26.19,0.0,2.38,1,42,2,8,426873
0,0.0,2.94,15.63,0.0990796,1.56,1,64,3,6,426874
0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,426875
0,5.56,0.0,11.11,0.0,5.56,1,18,0,1,426877
0,3.9,0.0,8.33,0.0,3.57,3,84,2,2,164734
0,0.0,0.0,0.0,0.0,0.0,0,20,0,0,426880
0,7.69,0.0,24.27,0.0529294,7.44,23,309,25,27,426881
0,0.0,0.0,12.5,0.0,0.0,0,8,0,1,426886
0,1.96,0.0,16.67,0.0063,1.59,2,126,9,10,426887
0,6.15,3.51,23.96,1.5408957,4.46,30,672,58,73,33672
0,0.0,0.0,0.0,0.0,0.0,0,19,0,0,426894
0,12.27,0.0,31.52,0.000825,12.12,20,165,14,18,164753
0,4.15,0.0,19.62,0.0074844,3.77,10,265,24,18,426903
0,15.2,0.0,30.4,0.005219999999999999,15.2,19,125,9,10,426905
0,8.38,6.1,29.41,0.52108435,8.07,48,595,54,73,426909
0,0.0,0.0,0.0,0.0,0.0,0,19,0,0,426912
0,5.26,0.0,5.26,0.0,5.26,1,19,0,0,426916
0,4.92,0.0,19.75,0.004041,3.7,3,81,6,7,164774
0,6.25,0.0,36.11,0.050292,5.56,2,36,4,7,426919
0,0.98,0.0,22.33,0.01614,0.97,1,103,10,12,426922
0,2.7,0.0,22.32,0.017118,1.79,2,112,5,18,164779
0,6.98,0.0,20.44,0.00816,6.57,18,274,21,17,164780
0,0.0,0.0,17.65,0.0,0.0,0,17,2,1,426926
0,14.19,1.85,24.52,0.02726,12.93,68,526,32,29,164782
0,3.13,0.0,25.0,0.0,3.13,1,32,3,4,426928
