,data.horse.bloodline,data.horse.breed_type,data.horse.color,data.horse.gen,data.horse.horse_type,data.horse.img_url,data.horse.inserted_at,data.horse.name,data.horse.nft_id,data.horse.parents,data.horse.race_statistic.first_place_finishes,data.horse.race_statistic.free_win_rate,data.horse.race_statistic.number_of_free_races,data.horse.race_statistic.number_of_paid_races,data.horse.race_statistic.number_of_races,data.horse.race_statistic.paid_win_rate,data.horse.race_statistic.second_place_finishes,data.horse.race_statistic.third_place_finishes,data.horse.race_statistic.win_rate,data.horse.super_coat
0,Nakamoto,elite,Shadow Fighter,Z12,Colt,https://img.zed.run/horses/BFAFB2.png,2022-04-15T10:55:08,Lurking In The Shadows,393284,"[{'name': 'Running From My Shadow', 'nft_id': 182478}, {'name': 'Alabaster Flame', 'nft_id': 182477}]",3,5.45,55,0,55,0.0,4,6,5.45,False
0,Nakamoto,genesis,Slate Gray,Z1,Stallion,https://img.zed.run/horses/708090.png,2019-02-07T09:20:56,Mass Anchor,68,[],5,16.67,30,8,38,0.0,5,12,13.16,False
0,Buterin,exclusive,Alizarin Crimson,Z21,Colt,https://img.zed.run/horses/E32636.png,2022-04-15T11:03:22,Gotta Start Somewhere,393288,"[{'name': 'Perfect Pitcher Amelia', 'nft_id': 149707}, {'name': ""Gallop Don't Run"", 'nft_id': 29624}]",5,5.05,99,4,103,0.0,13,5,4.85,False
0,Nakamoto,genesis,Slate Gray,Z1,Mare,https://img.zed.run/horses/708090.png,2019-02-07T11:15:36,Hater,75,[],4,23.53,17,3,20,0.0,5,2,20.0,False
0,Szabo,legendary,Azure,Z5,Mare,https://img.zed.run/horses/007FFF.png,2021-10-17T11:27:26,Diamond Cut,131156,"[{'name': 'Diamonds Dancing', 'nft_id': 13617}, {'name': 'A Cut Above', 'nft_id': 13220}]",29,7.24,290,77,367,10.39,37,40,7.9,False
0,Szabo,legendary,Absolute Zero,Z6,Mare,https://img.zed.run/horses/0048BA.png,2022-04-15T12:12:08,Agent Know How,393302,"[{'name': 'I Have The Know How', 'nft_id': 1406}, {'name': 'Agent Duh', 'nft_id': 1335}]",8,8.89,90,30,120,0.0,6,7,6.67,False
0,Finney,exclusive,Feldgrau,Z9,Mare,https://img.zed.run/horses/4D5D53.png,2022-04-15T12:33:13,High Gin-Shiki,393303,"[{'name': 'Mirajane', 'nft_id': 352767}, {'name': ""Leonardo's Masterpiece"", 'nft_id': 13878}]",90,9.53,944,39,983,0.0,66,73,9.16,False
0,Nakamoto,genesis,Slate Gray,Z1,Mare,https://img.zed.run/horses/708090.png,2019-02-15T19:45:22,Two Birds One Stone,89,[],5,26.32,19,4,23,0.0,3,5,21.74,False
0,Finney,exclusive,Midnight Black,Z16,Stallion,https://img.zed.run/horses/000000.png,2022-04-15T12:37:05,Midnight Mash,393305,"[{'name': 'Healing Sun', 'nft_id': 181035}, {'name': 'Monster Mash', 'nft_id': 69254}]",19,14.4,125,13,138,7.69,8,9,13.77,False
0,Nakamoto,genesis,Champagne Papi,Z1,Stallion,https://img.zed.run/horses/F1DDCF.png,2019-02-16T13:10:03,Nine Nine Two,92,[],28,9.88,253,23,276,13.04,37,40,10.14,False
0,Finney,legendary,Egyptian Blue,Z12,Filly,https://img.zed.run/horses/1034A6.png,2022-04-15T13:11:55,Drunken Monkey,393315,"[{'name': 'Tick Tick Tock', 'nft_id': 20767}, {'name': 'Valhalla Mist', 'nft_id': 2834}]",3,10.71,28,2,30,0.0,2,0,10.0,False
0,Nakamoto,exclusive,Caribbean Green,Z5,Mare,https://img.zed.run/horses/00CC99.png,2021-10-17T13:29:31,Hindsight,131172,"[{'name': 'Pinnacle Whip', 'nft_id': 34213}, {'name': 'Champs-Élysées', 'nft_id': 8263}]",13,3.41,381,32,413,0.0,25,47,3.15,False
0,Nakamoto,genesis,Shadow Fighter,Z1,Stallion,https://img.zed.run/horses/BFAFB2.png,2019-02-17T17:54:16,Tiggers Run,106,[],60,11.99,442,136,578,5.15,65,73,10.38,False
0,Nakamoto,exclusive,Alabaster,Z6,Colt,https://img.zed.run/horses/F2F0E6.png,2022-04-15T13:36:36,Danshan's Toilet Cobra,393323,"[{'name': 'Khronos', 'nft_id': 144770}, {'name': 'Mamlambo', 'nft_id': 7227}]",3,4.55,66,2,68,0.0,7,9,4.41,False
0,Buterin,elite,Banana Mania,Z39,Stallion,https://img.zed.run/horses/FAE7B5.png,2021-10-17T14:16:26,Bananah Hammah,131183,"[{'name': 'Marbles', 'nft_id': 81796}, {'name': 'Happy Winter', 'nft_id': 51728}]",1,1.35,74,0,74,0.0,1,2,1.35,False
0,Finney,legendary,Burnt Umber,Z14,Colt,https://img.zed.run/horses/8A3324.png,2022-04-15T14:29:23,14th Apostle,393329,"[{'name': 'Money For Nothing', 'nft_id': 3063}, {'name': 'Oud Done', 'nft_id': 3048}]",0,0.0,15,0,15,0.0,0,0,0.0,False
0,Finney,legendary,English Vermillion,Z13,Mare,https://img.zed.run/horses/CC474B.png,2022-04-15T14:29:55,apollo pure,393330,"[{'name': 'Money For Nothing', 'nft_id': 3063}, {'name': 'Frontier Fighter', 'nft_id': 2522}]",1,4.76,21,1,22,0.0,2,2,4.55,False
0,Nakamoto,exclusive,Destiny,Z5,Mare,https://img.zed.run/horses/872657.png,2021-10-17T14:31:29,Fire Victory,131187,"[{'name': 'Fire Flash', 'nft_id': 51024}, {'name': 'Fire Ember', 'nft_id': 13198}]",6,7.59,79,1,80,0.0,12,12,7.5,False
0,Buterin,legendary,Air Superiority Blue,Z18,Stallion,https://img.zed.run/horses/72A0C1.png,2022-04-15T14:34:03,Cadillac Don,393332,"[{'name': 'The Important Point', 'nft_id': 41638}, {'name': 'Reckless Forever', 'nft_id': 26519}]",46,10.2,402,61,463,8.2,41,31,9.94,False
0,Szabo,legendary,Cinnamon Satin,Z6,Mare,https://img.zed.run/horses/CD607E.png,2022-04-15T14:36:04,Llamascula,393333,"[{'name': 'Get Around', 'nft_id': 26572}, {'name': 'A Day Latte', 'nft_id': 1324}]",43,6.24,577,91,668,7.69,65,64,6.44,False
0,Buterin,legendary,Fiery Rose,Z12,Mare,https://img.zed.run/horses/FF5470.png,2022-04-15T14:46:28,Arbitrage Is Elon Musk,393335,"[{'name': 'Stayin Alive', 'nft_id': 20904}, {'name': 'Compass', 'nft_id': 14869}]",17,12.5,136,17,153,0.0,13,14,11.11,False
0,Buterin,elite,Café Au Lait,Z25,Colt,https://img.zed.run/horses/A67B5B.png,2022-04-15T14:47:06,Gaspar,393336,"[{'name': 'Laganja Estranja', 'nft_id': 195393}, {'name': 'Tick Tick Boom', 'nft_id': 30388}]",8,4.4,182,1,183,0.0,19,20,4.37,False
