,timestamp,eth_price
0,455832,3676.2
1,455833,3722.99
2,455834,3725.27
3,455835,3728.72
4,455836,3723.94
5,455837,3707.49
6,455838,3735.64
7,455839,3710.89
8,455840,3715.42
9,455841,3721.58
10,455842,3717.91
11,455843,3691.91
12,455844,3693.84
13,455845,3715.82
14,455846,3710.82
15,455847,3697.78
16,455848,3726.07
17,455849,3727.61
18,455850,3761.88
19,455851,3753.54
20,455852,3747.83
21,455853,3762.44
22,455854,3749.5
23,455855,3758.73
24,455856,3766.24
25,455857,3762.75
26,455858,3747.77
27,455859,3747.28
28,455860,3759.11
29,455861,3724.9
30,455862,3745.17
31,455863,3739.21
32,455864,3748.05
33,455865,3744.24
34,455866,3754.01
35,455867,3743.82
36,455868,3744.77
37,455869,3754.91
38,455870,3745.6
39,455871,3753.03
40,455872,3779.03
41,455873,3839.46
42,455874,3825.18
43,455875,3796.0
44,455876,3799.55
45,455877,3810.75
46,455878,3812.33
47,455879,3827.98
48,455880,3829.32
49,455881,3807.64
50,455882,3806.14
51,455883,3798.52
52,455884,3785.82
53,455885,3792.22
54,455886,3812.43
55,455887,3803.34
56,455888,3809.1
57,455889,3807.93
58,455890,3808.97
59,455891,3824.14
60,455892,3835.61
61,455893,3819.39
62,455894,3819.64
63,455895,3804.51
64,455896,3784.03
65,455897,3748.77
66,455898,3761.53
67,455899,3752.58
68,455900,3739.27
69,455901,3699.38
70,455902,3724.1
71,455903,3751.93
72,455904,3765.67
73,455905,3743.09
74,455906,3733.07
75,455907,3726.52
76,455908,3744.74
77,455909,3731.08
78,455910,3742.67
79,455911,3753.48
80,455912,3763.79
81,455913,3770.95
82,455914,3767.29
83,455915,3806.36
84,455916,3836.38
85,455917,3832.03
86,455918,3866.81
87,455919,3876.88
88,455920,3849.05
89,455921,3851.16
90,455922,3837.33
91,455923,3770.57
92,455924,3811.49
93,455925,3816.47
94,455926,3825.48
95,455927,3815.79
96,455928,3785.08
97,455929,3809.89
98,455930,3793.26
99,455931,3802.42
100,455932,3809.19
101,455933,3809.62
102,455934,3803.61
103,455935,3819.34
104,455936,3815.82
105,455937,3820.87
106,455938,3836.94
107,455939,3826.26
108,455940,3791.58
109,455941,3789.81
110,455942,3814.51
111,455943,3820.93
112,455944,3821.64
113,455945,3793.04
114,455946,3772.27
115,455947,3747.05
116,455948,3654.15
117,455949,3592.43
118,455950,3553.83
119,455951,3533.52
120,455952,3539.82
121,455953,3537.94
122,455954,3525.11
123,455955,3508.24
124,455956,3448.52
125,455957,3450.42
126,455958,3457.02
127,455959,3438.33
128,455960,3452.28
129,455961,3404.49
130,455962,3307.75
131,455963,3354.87
132,455964,3348.13
133,455965,3359.91
134,455966,3404.66
135,455967,3393.78
136,455968,3396.46
137,455969,3400.73
138,455970,3422.54
139,455971,3456.25
140,455972,3447.5
141,455973,3424.88
142,455974,3428.05
143,455975,3429.15
144,455976,3406.44
145,455977,3365.17
146,455978,3390.34
147,455979,3360.34
148,455980,3237.13
149,455981,3216.52
150,455982,3234.83
151,455983,3169.09
152,455984,3200.73
153,455985,3230.0
154,455986,3249.74
155,455987,3216.91
156,455988,3224.97
157,455989,3240.24
158,455990,3165.65
159,455991,3207.1
160,455992,3132.65
161,455993,3213.97
162,455994,3203.25
163,455995,3171.71
164,455996,3196.8
165,455997,3215.55
166,455998,3215.87
167,455999,3181.61
168,456000,3197.37
169,456001,3234.75
170,456002,3217.65
171,456003,3210.03
172,456004,3202.96
173,456005,3219.07
174,456006,3215.4
175,456007,3219.26
176,456008,3216.11
177,456009,3215.47
178,456010,3240.4
179,456011,3221.63
180,456012,3220.46
181,456013,3201.73
182,456014,3200.56
183,456015,3176.11
184,456016,3160.71
185,456017,3128.68
186,456018,3040.48
187,456019,3008.34
188,456020,3028.08
189,456021,3031.36
190,456022,3079.06
191,456023,3119.29
192,456024,3081.17
193,456025,3119.01
194,456026,3116.7
195,456027,3138.53
196,456028,3121.55
197,456029,3140.9
198,456030,3123.09
199,456031,3138.41
200,456032,3128.78
201,456033,3108.36
202,456034,3096.62
203,456035,3106.11
204,456036,3128.7
205,456037,3110.15
206,456038,3086.52
207,456039,3098.32
208,456040,3098.39
209,456041,3160.37
210,456042,3166.18
211,456043,3169.33
212,456044,3203.82
213,456045,3196.85
214,456046,3189.67
215,456047,3179.15
216,456048,3151.59
217,456049,3137.85
218,456050,3151.92
219,456051,3154.71
220,456052,3155.54
221,456053,3176.02
222,456054,3174.23
223,456055,3161.77
224,456056,3163.44
225,456057,3145.42
226,456058,3146.73
227,456059,3139.47
228,456060,3104.45
229,456061,3032.26
