,data.horse.bloodline,data.horse.breed_type,data.horse.breeding_counter,data.horse.color,data.horse.gen,data.horse.horse_type,data.horse.img_url,data.horse.inserted_at,data.horse.last_breeding_reset,data.horse.name,data.horse.nft_id,data.horse.race_statistic.first_place_finishes,data.horse.race_statistic.number_of_races,data.horse.race_statistic.second_place_finishes,data.horse.race_statistic.third_place_finishes,data.horse.race_statistic.win_rate
0,Nakamoto,exclusive,1,Caribbean Green,Z5,Mare,https://img.zed.run/horses/00CC99.png,2021-10-17T13:29:31,2023-01-08T13:24:06Z,Hindsight,131172,13,413,25,47,3.15
0,Nakamoto,genesis,3,Shadow Fighter,Z1,Stallion,https://img.zed.run/horses/BFAFB2.png,2019-02-17T17:54:16,2023-01-15T17:53:52Z,Tiggers Run,106,60,578,65,73,10.38
0,Nakamoto,exclusive,3,Alabaster,Z6,Colt,https://img.zed.run/horses/F2F0E6.png,2022-04-15T13:36:36,2022-12-23T13:32:06Z,Danshan's Toilet Cobra,393323,3,68,7,9,4.41
0,Buterin,elite,3,Banana Mania,Z39,Stallion,https://img.zed.run/horses/FAE7B5.png,2021-10-17T14:16:26,2023-01-08T14:07:56Z,Bananah Hammah,131183,1,74,1,2,1.35
0,Finney,legendary,3,Burnt Umber,Z14,Colt,https://img.zed.run/horses/8A3324.png,2022-04-15T14:29:23,2022-12-23T14:23:08Z,14th Apostle,393329,0,15,0,0,0.0
0,Finney,legendary,1,English Vermillion,Z13,Mare,https://img.zed.run/horses/CC474B.png,2022-04-15T14:29:55,2022-12-23T14:24:12Z,apollo pure,393330,1,22,2,2,4.55
0,Nakamoto,exclusive,1,Destiny,Z5,Mare,https://img.zed.run/horses/872657.png,2021-10-17T14:31:29,2023-01-08T14:24:44Z,Fire Victory,131187,6,80,12,12,7.5
0,Buterin,legendary,3,Air Superiority Blue,Z18,Stallion,https://img.zed.run/horses/72A0C1.png,2022-04-15T14:34:03,2022-12-23T14:29:32Z,Cadillac Don,393332,46,463,41,31,9.94
0,Szabo,legendary,1,Cinnamon Satin,Z6,Mare,https://img.zed.run/horses/CD607E.png,2022-04-15T14:36:04,2022-12-23T14:31:34Z,Llamascula,393333,43,668,65,64,6.44
0,Buterin,legendary,1,Fiery Rose,Z12,Mare,https://img.zed.run/horses/FF5470.png,2022-04-15T14:46:28,2022-12-23T14:41:58Z,Arbitrage Is Elon Musk,393335,17,153,13,14,11.11
0,Buterin,elite,3,Café Au Lait,Z25,Colt,https://img.zed.run/horses/A67B5B.png,2022-04-15T14:47:06,2022-12-23T14:42:34Z,Gaspar,393336,8,183,19,20,4.37
0,Nakamoto,genesis,0,Sienna,Z1,Mare,https://img.zed.run/horses/3C1414.png,2019-02-20T13:20:47,2022-12-21T13:20:32Z,Vast Sensibility,131,318,2343,311,272,13.57
0,Finney,exclusive,3,Antique Brass,Z15,Stallion,https://img.zed.run/horses/CD9575.png,2021-10-17T15:44:19,2023-01-08T15:39:50Z,Paarthurnax,131214,15,167,15,11,8.98
0,Nakamoto,exclusive,3,Cinereous,Z4,Colt,https://img.zed.run/horses/98817B.png,2022-04-15T17:35:11,2022-12-23T17:28:32Z,Debonair,393372,11,86,7,6,12.79
0,Buterin,legendary,3,Buff Gold,Z18,Colt,https://img.zed.run/horses/F0DC82.png,2022-04-15T17:44:32,2022-12-23T17:40:02Z,Crypto Nugget,393373,0,19,0,1,0.0
0,Finney,exclusive,3,Alabaster,Z17,Colt,https://img.zed.run/horses/F2F0E6.png,2022-04-15T19:04:19,2022-12-23T18:59:48Z,Thorium,393395,2,22,0,1,9.09
0,Buterin,exclusive,3,Cinnamon Satin,Z15,Stallion,https://img.zed.run/horses/CD607E.png,2022-04-15T19:15:27,2022-12-23T19:10:54Z,Bad Reviews,393398,14,134,13,13,10.45
0,Finney,legendary,3,Burnt Sienna,Z14,Stallion,https://img.zed.run/horses/E97451.png,2021-10-17T18:23:30,2023-01-08T18:19:01Z,Wanta Fanta,131267,97,692,52,55,14.02
0,Buterin,elite,3,Cerulean Frost,Z38,Stallion,https://img.zed.run/horses/6D9BC3.png,2022-04-15T19:33:57,2022-12-23T19:29:20Z,Frosty Way,393415,9,46,3,3,19.57
0,Buterin,exclusive,3,Cerulean Frost,Z13,Stallion,https://img.zed.run/horses/6D9BC3.png,2022-04-15T20:11:31,2022-12-23T20:07:02Z,AK Mania,393427,4,190,19,18,2.11
0,Buterin,exclusive,1,Thistle,Z19,Filly,https://img.zed.run/horses/D8BFD8.png,2022-04-15T20:30:28,2022-12-23T20:25:46Z,Gameplan,393441,0,10,1,0,0.0
0,Buterin,legendary,1,Cal Poly Pomona,Z18,Mare,https://img.zed.run/horses/1E4D2B.png,2022-04-15T20:31:50,2022-12-23T20:27:24Z,Chonny Got Covid,393442,4,101,6,10,3.96
0,Buterin,legendary,1,Alabaster,Z17,Mare,https://img.zed.run/horses/F2F0E6.png,2022-04-15T20:32:46,2022-12-23T20:28:16Z,Milk Maid,393444,0,56,1,5,0.0
0,Buterin,exclusive,3,Azure,Z14,Colt,https://img.zed.run/horses/007FFF.png,2022-04-15T20:34:24,2022-12-23T20:29:14Z,Abuela,393445,21,588,50,66,3.57
0,Szabo,legendary,1,Anti-Flash White,Z8,Mare,https://img.zed.run/horses/F2F3F4.png,2022-04-15T21:05:30,2022-12-23T21:01:04Z,Luminescent Moon,393458,105,1056,88,100,9.94
0,Buterin,exclusive,1,Cosmic Cobalt,Z14,Mare,https://img.zed.run/horses/2E2D88.png,2022-04-15T21:21:27,2022-12-23T21:16:57Z,Jinxbreacher,393463,8,291,21,32,2.75
0,Nakamoto,genesis,0,Deep Taupe,Z1,Stallion,https://img.zed.run/horses/7E5E60.png,2019-03-02T01:00:01,2022-12-31T00:59:49Z,Argonaut,252,333,2339,373,298,14.24
0,Nakamoto,legendary,3,Cotton Candy,Z3,Stallion,https://img.zed.run/horses/FFBCD9.png,2021-10-17T22:17:16,2023-01-08T22:10:41Z,Eldrick Tiger Woods,131325,5,64,7,5,7.81
0,Nakamoto,genesis,3,Cinnamon Satin,Z1,Stallion,https://img.zed.run/horses/CD607E.png,2019-03-02T01:02:17,2022-12-31T01:02:07Z,Above The Clouds,254,17,150,23,16,11.33
0,Nakamoto,genesis,3,Rosy Brown,Z1,Stallion,https://img.zed.run/horses/BC8F8F.png,2019-03-02T09:30:09,2022-12-31T09:29:40Z,Ring The Alarm,270,34,940,79,119,3.62
0,Buterin,legendary,3,Electric Violet,Z12,Stallion,https://img.zed.run/horses/8F00FF.png,2021-10-18T05:07:04,2023-01-09T05:00:25Z,Violet Ends,131477,127,1280,151,115,9.92
0,Szabo,elite,1,Anti-Flash White,Z11,Mare,https://img.zed.run/horses/F2F3F4.png,2022-04-16T01:05:59,2022-12-24T01:01:26Z,1800M SUPER VARIANT,393624,2,82,11,12,2.44
0,Buterin,elite,3,English Vermillion,Z21,Stallion,https://img.zed.run/horses/CC474B.png,2021-10-18T05:15:10,2023-01-09T05:09:37Z,Unrequited,131482,22,272,19,22,8.09
0,Finney,legendary,3,Caribbean Green,Z8,Colt,https://img.zed.run/horses/00CC99.png,2022-04-16T01:07:33,2022-12-24T01:03:08Z,Honest move,393627,9,106,7,20,8.49
0,Finney,legendary,3,Cosmic Latte,Z8,Stallion,https://img.zed.run/horses/FFF8E7.png,2022-04-16T01:07:45,2022-12-24T01:03:16Z,Sun Stroke,393628,18,384,31,31,4.69
0,Buterin,legendary,3,Sienna,Z17,Colt,https://img.zed.run/horses/3C1414.png,2022-04-16T01:11:30,2022-12-24T01:05:18Z,The Secret Desert,393630,2,47,4,7,4.26
0,Buterin,legendary,3,Cal Poly Pomona,Z17,Colt,https://img.zed.run/horses/1E4D2B.png,2022-04-16T01:12:14,2022-12-24T01:05:40Z,Meenutz Hoit,393631,9,64,3,5,14.06
0,Buterin,legendary,1,Buff Gold,Z17,Filly,https://img.zed.run/horses/F0DC82.png,2022-04-16T01:12:39,2022-12-24T01:06:00Z,Speed Violation,393632,1,62,4,5,1.61
0,Buterin,legendary,0,Copper Penny,Z18,Stallion,https://img.zed.run/horses/AD6F69.png,2022-04-16T01:13:26,2022-12-24T01:06:50Z,Herbert Hoovester,393633,64,611,58,39,10.47
0,Buterin,legendary,1,Fuzzy Wuzzy,Z18,Filly,https://img.zed.run/horses/CC6666.png,2022-04-16T01:13:48,2022-12-24T01:07:14Z,Chef Tell Monero,393634,1,4,0,0,25.0
0,Szabo,exclusive,1,Bright Cerulean,Z7,Filly,https://img.zed.run/horses/1DACD6.png,2022-04-16T01:14:44,2022-12-24T01:08:20Z,Ocean Drop,393636,17,212,18,19,8.02
0,Szabo,exclusive,3,Bittersweet Shimmer,Z8,Colt,https://img.zed.run/horses/BF4F51.png,2022-04-16T01:14:50,2022-12-24T01:08:32Z,Crab,393637,53,601,47,62,8.82
0,Finney,exclusive,1,Sir Aquamarine,Z17,Mare,https://img.zed.run/horses/7FFFD4.png,2021-10-18T05:51:47,2023-01-09T05:47:17Z,The Pony Express,131493,16,125,9,6,12.8
0,Szabo,exclusive,1,Big Dip O’Ruby,Z8,Mare,https://img.zed.run/horses/9C2542.png,2022-04-16T01:15:24,2022-12-24T01:09:36Z,ToadCricket,393639,18,267,20,22,6.74
0,Finney,exclusive,1,Cinereous,Z14,Filly,https://img.zed.run/horses/98817B.png,2022-04-16T01:15:52,2022-12-24T01:10:32Z,Arc,393641,1,67,8,5,1.49
0,Finney,exclusive,3,Space Sparkle,Z15,Colt,https://img.zed.run/horses/4A646C.png,2022-04-16T01:16:14,2022-12-24T01:11:12Z,Gamma Ray Burst,393642,0,26,4,2,0.0
0,Szabo,exclusive,3,Crimson Tide,Z8,Colt,https://img.zed.run/horses/DC143C.png,2022-04-16T01:15:13,2022-12-24T01:09:08Z,Rummy,393638,7,189,15,20,3.7
0,Buterin,exclusive,1,Chartreuse,Z20,Filly,https://img.zed.run/horses/7FFF00.png,2022-04-16T01:18:10,2022-12-24T01:13:00Z,Radioactivity,393652,2,32,2,3,6.25
