,free_win_rate,paid_win_rate,place,total_paid,win_rate,overall.first,overall.races,overall.second,overall.third,horse_id
0,9.38,9.09,30.23,0.00705,9.3,4,43,5,4,380294
0,1.85,100.0,21.82,0.017975,3.64,2,55,7,3,380293
0,10.0,0.0,23.44,0.0,9.38,6,64,8,1,380315
0,5.08,0.0,20.34,0.00126,5.08,3,59,6,3,380316
0,2.7,0.0,24.32,0.0,2.7,1,37,4,4,511389
0,19.44,17.65,22.86,0.1932528,18.57,13,70,3,0,511393
0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,511395
0,0.0,0.0,10.2,0.005145,0.0,0,49,2,3,511397
0,9.91,3.7,32.64,0.065808,9.21,22,239,28,28,511400
0,5.0,0.0,18.18,0.0,4.55,1,22,0,3,511401
0,4.33,0.0,24.22,0.015785,4.3,11,256,21,30,380328
0,4.76,12.61,27.14,0.8784348,11.43,32,280,24,20,511404
0,0.0,0.0,0.0,0.0,0.0,0,7,0,0,511405
0,8.33,33.33,40.74,0.008892,11.11,3,27,3,5,118194
0,8.06,4.55,28.57,0.018348,7.14,6,84,11,7,118195
0,15.94,14.29,28.95,0.0474252,15.79,12,76,5,5,511412
0,15.63,6.25,25.0,0.009854,12.5,6,48,4,2,118198
0,5.88,0.0,35.29,0.004215,5.88,3,51,2,13,380349
0,8.76,0.0,22.2,0.011235,8.74,39,446,26,34,380369
0,14.83,6.97,30.18,0.30086599999999997,11.05,56,507,52,45,118226
0,7.17,0.0,25.5,0.026762,5.96,18,302,23,36,380371
0,12.0,0.0,28.0,0.0086,12.0,6,50,6,2,511448
0,2.83,0.0,18.87,0.001375,2.83,3,106,11,6,380378
0,12.31,4.0,28.7,0.035037,8.7,10,115,11,12,118239
0,13.04,11.11,23.08,0.01512,12.82,10,78,4,4,511456
0,9.62,0.0,25.0,0.0,9.62,10,104,8,8,511459
0,16.62,16.35,27.82,0.601423,16.55,144,870,57,41,118256
0,0.0,0.0,25.0,0.0,0.0,0,84,12,9,511473
0,4.26,0.0,21.01,0.000375,4.2,10,238,19,21,380403
0,4.27,0.0,20.33,0.001905,4.07,5,123,14,6,380405
0,7.18,0.0,25.48,0.002825,7.12,26,365,37,30,380407
0,12.46,1.43,24.84,0.06191186,11.25,72,640,48,39,380409
0,2.03,0.0,22.22,0.00672345,2.02,4,198,19,21,380411
0,14.12,0.0,27.62,0.0018,13.26,24,181,12,14,380418
0,15.0,0.0,34.78,0.0,13.04,3,23,5,0,380419
0,11.39,7.92,27.59,0.124075,10.74,58,540,54,37,118276
0,5.49,0.0,24.04,0.00966,5.46,10,183,15,19,380421
0,9.76,5.19,27.24,0.234931,9.14,52,569,57,46,118279
0,4.55,0.0,23.31,0.003415,4.51,6,133,10,15,380425
0,7.38,10.34,23.84,0.041428,7.95,12,151,11,13,380430
0,12.28,14.29,30.0,0.05334,13.33,16,120,10,10,380431
0,15.5,11.11,30.42,0.0880652,14.45,38,263,20,22,118287
0,10.64,14.29,42.59,0.006465,11.11,6,54,9,8,380439
0,15.56,0.0,24.0,0.0,14.0,7,50,3,2,511515
0,4.11,6.17,21.82,0.066148,4.44,22,495,46,40,380446
0,3.43,11.11,17.84,0.009833,3.76,8,213,15,15,118303
