,free_win_rate,paid_win_rate,place,total_paid,win_rate,overall.first,overall.races,overall.second,overall.third,horse_id
0,11.93,4.17,24.19,0.120826,9.73,33,339,26,23,395195
0,3.7,0.0,19.75,0.0,3.7,3,81,7,6,395196
0,4.55,0.0,25.0,0.0,4.41,3,68,8,6,395201
0,3.82,0.0,22.15,0.0,3.8,6,158,16,13,395202
0,3.83,0.0,18.32,0.005335,3.82,10,262,14,24,395205
0,13.79,0.0,41.94,0.030693,12.9,12,93,13,14,395206
0,6.06,0.0,15.15,0.0,6.06,2,33,1,2,395212
0,3.45,0.0,16.67,0.0,3.33,1,30,2,2,133068
0,11.54,2.17,27.72,0.0291974,9.41,19,202,20,17,133071
0,28.07,12.16,38.17,0.131998,19.08,25,131,14,11,2002
0,21.02,1.15,51.37,0.23881313,16.71,67,401,74,65,2003
0,13.88,11.39,23.15,0.057066,13.27,43,324,19,13,133077
0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2011
0,12.5,12.5,31.25,0.047835,12.5,6,48,4,5,395230
0,1.59,0.0,11.9,0.0,1.59,2,126,4,9,133088
0,8.41,0.0,32.71,0.003225,8.41,9,107,6,20,395235
0,5.81,4.55,20.37,0.0139,5.56,6,108,9,7,133092
0,5.94,0.0,20.19,0.008324,5.77,6,104,6,9,395237
0,3.45,0.0,9.38,0.0,3.13,1,32,0,2,395238
0,8.33,0.0,32.41,0.0818172,6.48,7,108,15,13,2023
0,0.0,0.0,0.0,0.0,0.0,0,14,0,0,395239
0,8.37,0.0,21.67,0.00102,8.33,20,240,16,16,395241
0,0.0,0.0,18.75,0.00162,0.0,0,16,2,1,133097
0,11.29,8.33,37.84,0.06568,10.81,8,74,15,5,2027
0,1.61,0.0,9.09,0.0,1.52,1,66,4,1,133099
0,3.91,0.0,22.57,0.05747,3.82,11,288,24,30,2029
0,9.39,5.41,24.06,0.046139,8.83,47,532,41,40,133104
0,16.03,5.88,36.84,0.086632,14.21,27,190,21,22,2033
0,20.69,0.0,44.83,0.011295,20.69,6,29,3,4,395258
0,12.12,0.0,21.21,0.00204,12.12,8,66,4,2,395261
0,2.94,0.0,10.29,0.00102,2.94,2,68,3,2,395262
0,13.43,4.17,30.77,0.0726783,10.99,10,91,8,10,395265
0,5.86,0.0,19.14,0.030935,5.86,30,512,35,33,395267
0,18.29,14.29,39.64,0.316897,15.77,35,222,24,29,2053
0,12.04,5.71,27.97,0.07642,10.49,15,143,10,15,395270
0,6.31,0.0,27.93,0.00153,6.31,7,111,9,15,2058
0,5.21,28.57,13.23,0.1346,6.05,59,975,44,26,395277
0,5.88,0.0,20.75,0.0,5.66,3,53,6,2,133138
0,5.88,0.0,22.35,0.001445,5.88,5,85,5,9,395285
0,17.65,9.59,35.51,0.365669,12.15,13,107,17,8,2070
0,7.23,8.97,24.96,0.3719156,7.43,50,673,58,60,395289
0,12.77,10.0,30.37,0.036669,12.61,44,349,36,26,133153
0,1.25,0.0,12.08,0.0,1.25,3,240,15,11,133156
0,12.91,16.41,29.45,1.7710856,15.44,204,1321,113,72,133169
0,3.57,0.0,22.39,0.001965,2.99,2,67,4,9,395325
0,5.17,0.0,23.93,0.00453,5.13,6,117,13,9,395326
0,11.82,4.76,35.13,0.26746156,11.29,63,558,71,62,395327
0,2.76,0.0,22.76,0.0,2.76,4,145,13,16,395328
0,15.11,8.89,32.26,5.46455575,10.99,248,2257,260,220,2110
0,10.86,4.44,38.18,0.1760728,9.55,21,220,33,30,133187
0,23.78,15.79,34.06,0.3786054,19.93,55,276,24,15,2124
0,16.67,6.25,38.46,0.0206235,13.46,7,52,7,6,2125
0,0.0,0.0,0.0,0.0,0.0,0,11,0,0,395348
0,9.71,20.0,24.17,0.00984,9.95,21,211,20,10,395350
0,15.83,12.67,31.2,1.22144451,14.1,75,532,57,34,2135
0,8.82,0.0,29.41,0.045805,8.82,6,68,8,6,395351
0,4.62,0.0,20.0,0.00414,4.29,6,140,6,16,395359
0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2145
0,8.67,0.0,23.45,0.008712,8.25,32,388,32,27,395362
0,0.0,0.0,24.0,0.0016,0.0,0,25,2,4,395361
0,0.0,0.0,13.33,0.00068,0.0,0,15,1,1,395364
0,9.28,0.0,30.59,0.04731,9.25,36,389,39,44,395365
0,4.66,5.56,19.69,0.009135,4.7,21,447,29,38,133222
